sample_id,variant_id,gene,nominal_vaf,measured_vaf,depth,site,run_id,operator,replicate,detected,qc_flag
S00042,VAR1,EGFR,0.1,0.0896846052117427,746,SiteB,SiteB_Run02,Operator1,3,0,0
S00043,VAR1,EGFR,0.1,0.11340107070176815,914,SiteB,SiteB_Run03,Operator1,1,0,0
S00044,VAR1,EGFR,0.1,0.07524152663254326,691,SiteB,SiteB_Run03,Operator2,2,0,0
S00045,VAR1,EGFR,0.1,0.07823113071519618,595,SiteB,SiteB_Run03,Operator1,3,0,0
S00046,VAR1,EGFR,0.1,0.07154660695312426,865,SiteC,SiteC_Run01,Operator1,1,0,0
S00047,VAR1,EGFR,0.1,0.1017022963491306,678,SiteC,SiteC_Run01,Operator2,2,0,0
S00048,VAR1,EGFR,0.1,0.09596130652564708,1017,SiteC,SiteC_Run01,Operator1,3,0,0
S00049,VAR1,EGFR,0.1,0.13342566603584557,735,SiteC,SiteC_Run02,Operator1,1,0,0
S00050,VAR1,EGFR,0.1,0.0991678397154545,898,SiteC,SiteC_Run02,Operator2,2,0,1
S00051,VAR1,EGFR,0.1,0.13109484666139093,848,SiteC,SiteC_Run02,Operator1,3,0,0
S00052,VAR1,EGFR,0.1,0.14755710319605816,682,SiteC,SiteC_Run03,Operator1,1,0,0
S00053,VAR1,EGFR,0.1,0.09064787900024754,1036,SiteC,SiteC_Run03,Operator2,2,0,0
S00054,VAR1,EGFR,0.1,0.10807852010582548,896,SiteC,SiteC_Run03,Operator1,3,0,0
S00055,VAR1,EGFR,0.25,0.21113173307300862,813,SiteA,SiteA_Run01,Operator1,1,0,0
S00056,VAR1,EGFR,0.25,0.28976173778325337,841,SiteA,SiteA_Run01,Operator2,2,0,0
S00057,VAR1,EGFR,0.25,0.20144348117705255,902,SiteA,SiteA_Run01,Operator1,3,0,0
S00058,VAR1,EGFR,0.25,0.203601803483992,813,SiteA,SiteA_Run02,Operator1,1,0,0
S00059,VAR1,EGFR,0.25,0.26486482200008754,351,SiteA,SiteA_Run02,Operator2,2,0,0
S00060,VAR1,EGFR,0.25,0.2545820502116141,843,SiteA,SiteA_Run02,Operator1,3,0,0
S00061,VAR1,EGFR,0.25,0.2634821314121639,745,SiteA,SiteA_Run03,Operator1,1,0,0
S00062,VAR1,EGFR,0.25,0.2534908937817378,828,SiteA,SiteA_Run03,Operator2,2,0,0
S00063,VAR1,EGFR,0.25,0.22491715942833207,887,SiteA,SiteA_Run03,Operator1,3,0,0
S00064,VAR1,EGFR,0.25,0.24357392380206702,1010,SiteB,SiteB_Run01,Operator1,1,0,0
S00065,VAR1,EGFR,0.25,0.3456728013268882,691,SiteB,SiteB_Run01,Operator2,2,0,0
S00066,VAR1,EGFR,0.25,0.2491068431025107,995,SiteB,SiteB_Run01,Operator1,3,0,1
S00067,VAR1,EGFR,0.25,0.19205139875910882,850,SiteB,SiteB_Run02,Operator1,1,0,0
S00068,VAR1,EGFR,0.25,0.21114579907867914,956,SiteB,SiteB_Run02,Operator2,2,0,0
S00069,VAR1,EGFR,0.25,0.20055688924105006,938,SiteB,SiteB_Run02,Operator1,3,0,1
S00070,VAR1,EGFR,0.25,0.20881378819830732,908,SiteB,SiteB_Run03,Operator1,1,0,0
S00071,VAR1,EGFR,0.25,0.19426906553383608,644,SiteB,SiteB_Run03,Operator2,2,0,0
S00072,VAR1,EGFR,0.25,0.14786373458218258,786,SiteB,SiteB_Run03,Operator1,3,0,0
S00073,VAR1,EGFR,0.25,0.2857947991173954,894,SiteC,SiteC_Run01,Operator1,1,0,1
S00074,VAR1,EGFR,0.25,0.2852794481530678,657,SiteC,SiteC_Run01,Operator2,2,0,0
S00075,VAR1,EGFR,0.25,0.23777880024923193,719,SiteC,SiteC_Run01,Operator1,3,0,0
S00076,VAR1,EGFR,0.25,0.216307596916554,887,SiteC,SiteC_Run02,Operator1,1,1,0
S00077,VAR1,EGFR,0.25,0.21251755386926852,915,SiteC,SiteC_Run02,Operator2,2,0,0
S00078,VAR1,EGFR,0.25,0.2707532217234604,870,SiteC,SiteC_Run02,Operator1,3,0,0
S00079,VAR1,EGFR,0.25,0.26158875485690736,667,SiteC,SiteC_Run03,Operator1,1,1,0
S00080,VAR1,EGFR,0.25,0.2719966183856154,635,SiteC,SiteC_Run03,Operator2,2,0,0
S00081,VAR1,EGFR,0.25,0.2502420142524566,1027,SiteC,SiteC_Run03,Operator1,3,0,0
S00082,VAR1,EGFR,0.5,0.5658929247623484,839,SiteA,SiteA_Run01,Operator1,1,0,0
S00083,VAR1,EGFR,0.5,0.5450267561543526,813,SiteA,SiteA_Run01,Operator2,2,0,0
S00084,VAR1,EGFR,0.5,0.5590676986102808,782,SiteA,SiteA_Run01,Operator1,3,0,1
S00085,VAR1,EGFR,0.5,0.5521392917417739,621,SiteA,SiteA_Run02,Operator1,1,0,0
S00086,VAR1,EGFR,0.5,0.6971392995060781,892,SiteA,SiteA_Run02,Operator2,2,0,0
S00087,VAR1,EGFR,0.5,0.4048842306437788,767,SiteA,SiteA_Run02,Operator1,3,0,0
S00088,VAR1,EGFR,0.5,0.6760540549420951,773,SiteA,SiteA_Run03,Operator1,1,0,0
S00089,VAR1,EGFR,0.5,0.46767161257499523,940,SiteA,SiteA_Run03,Operator2,2,0,0
S00090,VAR1,EGFR,0.5,0.4935439682609357,923,SiteA,SiteA_Run03,Operator1,3,0,0
S00091,VAR1,EGFR,0.5,0.5081742528409323,1009,SiteB,SiteB_Run01,Operator1,1,1,0
S00092,VAR1,EGFR,0.5,0.45712877716857003,729,SiteB,SiteB_Run01,Operator2,2,1,0
S00093,VAR1,EGFR,0.5,0.300019270732748,898,SiteB,SiteB_Run01,Operator1,3,0,0
S00094,VAR1,EGFR,0.5,0.4696659002501107,1009,SiteB,SiteB_Run02,Operator1,1,1,0
S00095,VAR1,EGFR,0.5,0.5041554882022484,633,SiteB,SiteB_Run02,Operator2,2,0,0
S00096,VAR1,EGFR,0.5,0.35320989589308965,671,SiteB,SiteB_Run02,Operator1,3,0,1
S00097,VAR1,EGFR,0.5,0.5581322996145324,630,SiteB,SiteB_Run03,Operator1,1,0,0
S00098,VAR1,EGFR,0.5,0.44370208606873485,581,SiteB,SiteB_Run03,Operator2,2,0,0
S00099,VAR1,EGFR,0.5,0.66791202090419,812,SiteB,SiteB_Run03,Operator1,3,0,0
S00100,VAR1,EGFR,0.5,0.5272009163201289,898,SiteC,SiteC_Run01,Operator1,1,1,0
S00101,VAR1,EGFR,0.5,0.4270288335664928,980,SiteC,SiteC_Run01,Operator2,2,0,0
S00102,VAR1,EGFR,0.5,0.5170577356044025,957,SiteC,SiteC_Run01,Operator1,3,0,0
S00103,VAR1,EGFR,0.5,0.5264333432589942,650,SiteC,SiteC_Run02,Operator1,1,0,0
S00104,VAR1,EGFR,0.5,0.6000527523365359,1077,SiteC,SiteC_Run02,Operator2,2,0,0
S00105,VAR1,EGFR,0.5,0.484556297606765,700,SiteC,SiteC_Run02,Operator1,3,0,0
S00106,VAR1,EGFR,0.5,0.3329302327380618,816,SiteC,SiteC_Run03,Operator1,1,0,0
S00107,VAR1,EGFR,0.5,0.3855515605273885,737,SiteC,SiteC_Run03,Operator2,2,0,0
S00108,VAR1,EGFR,0.5,0.4212211389480059,782,SiteC,SiteC_Run03,Operator1,3,0,0
S00109,VAR1,EGFR,1,1.0889926111126025,828,SiteA,SiteA_Run01,Operator1,1,0,0
S00110,VAR1,EGFR,1,0.9446250028568316,818,SiteA,SiteA_Run01,Operator2,2,0,0
S00111,VAR1,EGFR,1,0.884375344691027,796,SiteA,SiteA_Run01,Operator1,3,0,0
S00112,VAR1,EGFR,1,0.8445273422303203,816,SiteA,SiteA_Run02,Operator1,1,0,0
S00113,VAR1,EGFR,1,1.0312163124765445,727,SiteA,SiteA_Run02,Operator2,2,1,0
S00114,VAR1,EGFR,1,0.8434231790708494,724,SiteA,SiteA_Run02,Operator1,3,0,0
S00115,VAR1,EGFR,1,0.9235002445005964,551,SiteA,SiteA_Run03,Operator1,1,0,0
S00116,VAR1,EGFR,1,0.8286184813689839,743,SiteA,SiteA_Run03,Operator2,2,0,0
S00117,VAR1,EGFR,1,0.7575613549205431,723,SiteA,SiteA_Run03,Operator1,3,0,0
S00118,VAR1,EGFR,1,1.2105041403730803,1205,SiteB,SiteB_Run01,Operator1,1,0,0
S00119,VAR1,EGFR,1,0.7683583185665736,596,SiteB,SiteB_Run01,Operator2,2,0,0
S00120,VAR1,EGFR,1,1.0147130155683557,821,SiteB,SiteB_Run01,Operator1,3,0,0
S00121,VAR1,EGFR,1,0.8925817528301352,576,SiteB,SiteB_Run02,Operator1,1,1,0
S00122,VAR1,EGFR,1,0.8092154072594728,579,SiteB,SiteB_Run02,Operator2,2,1,0
S00123,VAR1,EGFR,1,1.0532311320446197,819,SiteB,SiteB_Run02,Operator1,3,0,0
S00124,VAR1,EGFR,1,1.0774820682951525,651,SiteB,SiteB_Run03,Operator1,1,0,0
S00125,VAR1,EGFR,1,1.2877974472415128,800,SiteB,SiteB_Run03,Operator2,2,0,0
S00126,VAR1,EGFR,1,1.0672070467816095,736,SiteB,SiteB_Run03,Operator1,3,1,0
S00127,VAR1,EGFR,1,0.9726864846268795,708,SiteC,SiteC_Run01,Operator1,1,0,1
S00128,VAR1,EGFR,1,1.6828584054848552,496,SiteC,SiteC_Run01,Operator2,2,0,0
S00129,VAR1,EGFR,1,0.8780454812701528,616,SiteC,SiteC_Run01,Operator1,3,0,0
S00130,VAR1,EGFR,1,0.8182096775829651,827,SiteC,SiteC_Run02,Operator1,1,0,1
S00131,VAR1,EGFR,1,0.8985052024950512,885,SiteC,SiteC_Run02,Operator2,2,0,0
S00132,VAR1,EGFR,1,0.9781591292334004,726,SiteC,SiteC_Run02,Operator1,3,0,0
S00133,VAR1,EGFR,1,1.1275938586616028,800,SiteC,SiteC_Run03,Operator1,1,0,0
S00134,VAR1,EGFR,1,1.0867254625845981,968,SiteC,SiteC_Run03,Operator2,2,0,0
S00135,VAR1,EGFR,1,0.9790719661117658,1016,SiteC,SiteC_Run03,Operator1,3,0,0
S00136,VAR1,EGFR,2,1.6851164528682077,635,SiteA,SiteA_Run01,Operator1,1,0,1
S00137,VAR1,EGFR,2,2.505811533209249,782,SiteA,SiteA_Run01,Operator2,2,0,1
S00138,VAR1,EGFR,2,2.402244490864885,980,SiteA,SiteA_Run01,Operator1,3,0,0
S00139,VAR1,EGFR,2,1.7302592659897904,730,SiteA,SiteA_Run02,Operator1,1,0,0
S00140,VAR1,EGFR,2,2.2944725653372218,792,SiteA,SiteA_Run02,Operator2,2,0,0
S00141,VAR1,EGFR,2,2.188386116137073,787,SiteA,SiteA_Run02,Operator1,3,0,0
S00142,VAR1,EGFR,2,2.4649992464158434,667,SiteA,SiteA_Run03,Operator1,1,0,1
S00143,VAR1,EGFR,2,2.0607561683207996,733,SiteA,SiteA_Run03,Operator2,2,0,0
S00144,VAR1,EGFR,2,1.5919087213130747,796,SiteA,SiteA_Run03,Operator1,3,0,0
S00145,VAR1,EGFR,2,2.3481952656341494,738,SiteB,SiteB_Run01,Operator1,1,0,0
S00146,VAR1,EGFR,2,1.7287591111748075,967,SiteB,SiteB_Run01,Operator2,2,0,0
S00147,VAR1,EGFR,2,2.222402988435952,728,SiteB,SiteB_Run01,Operator1,3,0,1
S00148,VAR1,EGFR,2,2.795030265528852,735,SiteB,SiteB_Run02,Operator1,1,0,0
S00149,VAR1,EGFR,2,1.5058862216730782,905,SiteB,SiteB_Run02,Operator2,2,0,0
S00150,VAR1,EGFR,2,2.7333537656001456,642,SiteB,SiteB_Run02,Operator1,3,0,0
S00151,VAR1,EGFR,2,2.6215857488667047,794,SiteB,SiteB_Run03,Operator1,1,1,0
S00152,VAR1,EGFR,2,1.79931821772637,567,SiteB,SiteB_Run03,Operator2,2,0,1
S00153,VAR1,EGFR,2,1.901974630039576,975,SiteB,SiteB_Run03,Operator1,3,0,0
S00154,VAR1,EGFR,2,1.7436448144424765,759,SiteC,SiteC_Run01,Operator1,1,0,0
S00155,VAR1,EGFR,2,1.7843847003293984,730,SiteC,SiteC_Run01,Operator2,2,0,1
S00156,VAR1,EGFR,2,2.245826167569224,614,SiteC,SiteC_Run01,Operator1,3,1,0
S00157,VAR1,EGFR,2,1.6708882637926075,799,SiteC,SiteC_Run02,Operator1,1,1,0
S00158,VAR1,EGFR,2,1.9252988510279645,680,SiteC,SiteC_Run02,Operator2,2,1,0
S00159,VAR1,EGFR,2,1.9432590865852968,720,SiteC,SiteC_Run02,Operator1,3,0,0
S00160,VAR1,EGFR,2,1.9617416003478652,993,SiteC,SiteC_Run03,Operator1,1,0,1
S00161,VAR1,EGFR,2,2.073911678303198,774,SiteC,SiteC_Run03,Operator2,2,0,0
S00162,VAR1,EGFR,2,2.7523690743477687,639,SiteC,SiteC_Run03,Operator1,3,0,0
S00163,VAR1,EGFR,5,4.568438969810993,824,SiteA,SiteA_Run01,Operator1,1,0,0
S00164,VAR1,EGFR,5,4.265083963878181,746,SiteA,SiteA_Run01,Operator2,2,1,0
S00165,VAR1,EGFR,5,5.858506937865276,889,SiteA,SiteA_Run01,Operator1,3,0,0
S00166,VAR1,EGFR,5,5.39532248862121,1015,SiteA,SiteA_Run02,Operator1,1,0,0
S00167,VAR1,EGFR,5,5.241436012798566,651,SiteA,SiteA_Run02,Operator2,2,0,0
S00168,VAR1,EGFR,5,5.627332704449403,868,SiteA,SiteA_Run02,Operator1,3,1,0
S00169,VAR1,EGFR,5,3.7699128030135927,813,SiteA,SiteA_Run03,Operator1,1,0,0
S00170,VAR1,EGFR,5,6.184814855092256,934,SiteA,SiteA_Run03,Operator2,2,0,0
S00171,VAR1,EGFR,5,5.475159940834146,766,SiteA,SiteA_Run03,Operator1,3,0,0
S00172,VAR1,EGFR,5,6.047835913701,925,SiteB,SiteB_Run01,Operator1,1,0,0
S00173,VAR1,EGFR,5,4.435917048754127,538,SiteB,SiteB_Run01,Operator2,2,1,0
S00174,VAR1,EGFR,5,3.4592434267308034,1053,SiteB,SiteB_Run01,Operator1,3,0,0
S00175,VAR1,EGFR,5,4.538152567614472,930,SiteB,SiteB_Run02,Operator1,1,0,0
S00176,VAR1,EGFR,5,4.170636030290432,777,SiteB,SiteB_Run02,Operator2,2,0,0
S00177,VAR1,EGFR,5,7.798960081440189,583,SiteB,SiteB_Run02,Operator1,3,0,0
S00178,VAR1,EGFR,5,4.603167240724371,896,SiteB,SiteB_Run03,Operator1,1,0,0
S00179,VAR1,EGFR,5,4.7889115083954845,872,SiteB,SiteB_Run03,Operator2,2,1,0
S00180,VAR1,EGFR,5,6.184422413555638,799,SiteB,SiteB_Run03,Operator1,3,1,0
S00181,VAR1,EGFR,5,5.660471642178071,823,SiteC,SiteC_Run01,Operator1,1,1,0
S00182,VAR1,EGFR,5,5.7204715614689565,712,SiteC,SiteC_Run01,Operator2,2,1,0
S00183,VAR1,EGFR,5,8.467030230322791,855,SiteC,SiteC_Run01,Operator1,3,0,0
S00184,VAR1,EGFR,5,5.168904611920472,844,SiteC,SiteC_Run02,Operator1,1,0,0
S00185,VAR1,EGFR,5,7.318994974204437,758,SiteC,SiteC_Run02,Operator2,2,0,0
S00186,VAR1,EGFR,5,5.260265983606538,600,SiteC,SiteC_Run02,Operator1,3,1,1
S00187,VAR1,EGFR,5,3.7345731153850843,905,SiteC,SiteC_Run03,Operator1,1,0,1
S00188,VAR1,EGFR,5,3.2026809764325463,883,SiteC,SiteC_Run03,Operator2,2,0,0
S00189,VAR1,EGFR,5,5.693781547115016,675,SiteC,SiteC_Run03,Operator1,3,1,0
S00190,VAR1,EGFR,10,8.188535940490754,561,SiteA,SiteA_Run01,Operator1,1,1,0
S00191,VAR1,EGFR,10,10.084298091516086,831,SiteA,SiteA_Run01,Operator2,2,1,0
S00192,VAR1,EGFR,10,14.267637105246212,748,SiteA,SiteA_Run01,Operator1,3,0,1
S00193,VAR1,EGFR,10,10.71904031157761,838,SiteA,SiteA_Run02,Operator1,1,1,0
S00194,VAR1,EGFR,10,9.441979054268046,606,SiteA,SiteA_Run02,Operator2,2,1,0
S00195,VAR1,EGFR,10,6.805082521120487,656,SiteA,SiteA_Run02,Operator1,3,1,0
S00196,VAR1,EGFR,10,8.520331692483227,963,SiteA,SiteA_Run03,Operator1,1,1,0
S00197,VAR1,EGFR,10,8.912559830778608,861,SiteA,SiteA_Run03,Operator2,2,0,0
S00198,VAR1,EGFR,10,11.466459853631886,888,SiteA,SiteA_Run03,Operator1,3,0,0
S00199,VAR1,EGFR,10,11.015204685530538,1072,SiteB,SiteB_Run01,Operator1,1,1,0
S00200,VAR1,EGFR,10,10.027965849097205,819,SiteB,SiteB_Run01,Operator2,2,0,0
S00201,VAR1,EGFR,10,10.367063815074518,500,SiteB,SiteB_Run01,Operator1,3,0,0
S00202,VAR1,EGFR,10,9.440042132465422,850,SiteB,SiteB_Run02,Operator1,1,1,0
S00203,VAR1,EGFR,10,10.060637551580545,976,SiteB,SiteB_Run02,Operator2,2,0,0
S00204,VAR1,EGFR,10,10.558380604795792,1109,SiteB,SiteB_Run02,Operator1,3,1,0
S00205,VAR1,EGFR,10,10.939901337867772,593,SiteB,SiteB_Run03,Operator1,1,0,0
S00206,VAR1,EGFR,10,14.412712428627286,627,SiteB,SiteB_Run03,Operator2,2,0,1
S00207,VAR1,EGFR,10,8.005912656993138,694,SiteB,SiteB_Run03,Operator1,3,0,0
S00208,VAR1,EGFR,10,13.430746309392426,642,SiteC,SiteC_Run01,Operator1,1,0,1
S00209,VAR1,EGFR,10,11.437387391747787,703,SiteC,SiteC_Run01,Operator2,2,1,0
S00210,VAR1,EGFR,10,7.341325295157425,772,SiteC,SiteC_Run01,Operator1,3,0,0
S00211,VAR1,EGFR,10,9.460976931021273,620,SiteC,SiteC_Run02,Operator1,1,0,0
S00212,VAR1,EGFR,10,8.817307000012905,1106,SiteC,SiteC_Run02,Operator2,2,0,0
S00213,VAR1,EGFR,10,8.297755052957003,816,SiteC,SiteC_Run02,Operator1,3,1,0
S00214,VAR1,EGFR,10,7.352260346980057,787,SiteC,SiteC_Run03,Operator1,1,0,0
S00215,VAR1,EGFR,10,9.059053850361034,874,SiteC,SiteC_Run03,Operator2,2,1,0
S00216,VAR1,EGFR,10,9.166110944588704,806,SiteC,SiteC_Run03,Operator1,3,1,0
S00217,VAR2,KRAS,0,0.05429101077105711,780,SiteA,SiteA_Run01,Operator1,1,0,1
S00218,VAR2,KRAS,0,0.018148541391760784,1022,SiteA,SiteA_Run01,Operator2,2,0,0
S00219,VAR2,KRAS,0,0.026542273913405495,767,SiteA,SiteA_Run01,Operator1,3,0,1
S00220,VAR2,KRAS,0,0.034528564313699696,607,SiteA,SiteA_Run02,Operator1,1,0,0
S00221,VAR2,KRAS,0,0.0207572790495337,858,SiteA,SiteA_Run02,Operator2,2,0,1
S00222,VAR2,KRAS,0,0.03773831924427438,747,SiteA,SiteA_Run02,Operator1,3,0,0
S00223,VAR2,KRAS,0,0.021164259232173712,722,SiteA,SiteA_Run03,Operator1,1,0,1
S00224,VAR2,KRAS,0,0.022780950089977957,640,SiteA,SiteA_Run03,Operator2,2,0,1
S00225,VAR2,KRAS,0,0.03366776752371317,864,SiteA,SiteA_Run03,Operator1,3,0,1
S00226,VAR2,KRAS,0,0.03327698351079246,774,SiteB,SiteB_Run01,Operator1,1,0,0
S00227,VAR2,KRAS,0,0.1451140511687845,877,SiteB,SiteB_Run01,Operator2,2,0,0
S00228,VAR2,KRAS,0,0.03214770609871651,765,SiteB,SiteB_Run01,Operator1,3,0,1
S00229,VAR2,KRAS,0,0.02058887015730673,701,SiteB,SiteB_Run02,Operator1,1,0,0
S00230,VAR2,KRAS,0,0.0338221146999276,988,SiteB,SiteB_Run02,Operator2,2,0,0
S00231,VAR2,KRAS,0,0.031497173265122635,759,SiteB,SiteB_Run02,Operator1,3,0,1
S00232,VAR2,KRAS,0,0.036434581895781804,942,SiteB,SiteB_Run03,Operator1,1,0,1
S00233,VAR2,KRAS,0,0.16132372035179288,620,SiteB,SiteB_Run03,Operator2,2,0,1
S00234,VAR2,KRAS,0,0.034678186960451496,730,SiteB,SiteB_Run03,Operator1,3,0,1
S00235,VAR2,KRAS,0,0.036587815258444054,760,SiteC,SiteC_Run01,Operator1,1,0,0
S00236,VAR2,KRAS,0,0.031154828117976208,741,SiteC,SiteC_Run01,Operator2,2,0,1
S00237,VAR2,KRAS,0,0.030963542110244352,1002,SiteC,SiteC_Run01,Operator1,3,0,0
S00238,VAR2,KRAS,0,0.037140148046980195,797,SiteC,SiteC_Run02,Operator1,1,0,1
S00239,VAR2,KRAS,0,0.16020856054499746,837,SiteC,SiteC_Run02,Operator2,2,0,0
S00240,VAR2,KRAS,0,0.03783704047468346,659,SiteC,SiteC_Run02,Operator1,3,0,1
S00241,VAR2,KRAS,0,0.01992941024629197,691,SiteC,SiteC_Run03,Operator1,1,0,0
S00242,VAR2,KRAS,0,0.010590949894166446,950,SiteC,SiteC_Run03,Operator2,2,0,0
S00243,VAR2,KRAS,0,0.04056869410487368,989,SiteC,SiteC_Run03,Operator1,3,0,1
S00244,VAR2,KRAS,0.1,0.09524632528670593,987,SiteA,SiteA_Run01,Operator1,1,0,0
S00245,VAR2,KRAS,0.1,0.1565624071344425,593,SiteA,SiteA_Run01,Operator2,2,0,1
S00246,VAR2,KRAS,0.1,0.06655120103707729,1107,SiteA,SiteA_Run01,Operator1,3,0,0
S00247,VAR2,KRAS,0.1,0.10813204065372076,953,SiteA,SiteA_Run02,Operator1,1,0,0
S00248,VAR2,KRAS,0.1,0.10800017576407368,796,SiteA,SiteA_Run02,Operator2,2,0,0
S00249,VAR2,KRAS,0.1,0.10917032812230283,906,SiteA,SiteA_Run02,Operator1,3,0,0
S00250,VAR2,KRAS,0.1,0.11180970529585355,654,SiteA,SiteA_Run03,Operator1,1,0,1
S00251,VAR2,KRAS,0.1,0.09462189612711833,636,SiteA,SiteA_Run03,Operator2,2,0,0
S00252,VAR2,KRAS,0.1,0.12627067306306156,807,SiteA,SiteA_Run03,Operator1,3,0,0
S00253,VAR2,KRAS,0.1,0.06121025488739537,620,SiteB,SiteB_Run01,Operator1,1,0,1
S00254,VAR2,KRAS,0.1,0.08511956661295048,829,SiteB,SiteB_Run01,Operator2,2,0,0
S00255,VAR2,KRAS,0.1,0.09764527566485359,995,SiteB,SiteB_Run01,Operator1,3,0,0
S00256,VAR2,KRAS,0.1,0.10331818825713877,645,SiteB,SiteB_Run02,Operator1,1,0,1
S00257,VAR2,KRAS,0.1,0.108469181107584,689,SiteB,SiteB_Run02,Operator2,2,0,0
S00258,VAR2,KRAS,0.1,0.11364029866119546,807,SiteB,SiteB_Run02,Operator1,3,0,0
S00259,VAR2,KRAS,0.1,0.07395572908084752,647,SiteB,SiteB_Run03,Operator1,1,0,0
S00260,VAR2,KRAS,0.1,0.10015352982448385,743,SiteB,SiteB_Run03,Operator2,2,0,0
S00261,VAR2,KRAS,0.1,0.11105258083728992,931,SiteB,SiteB_Run03,Operator1,3,0,0
S00262,VAR2,KRAS,0.1,0.1303779265580347,945,SiteC,SiteC_Run01,Operator1,1,0,0
S00263,VAR2,KRAS,0.1,0.09775424637531022,858,SiteC,SiteC_Run01,Operator2,2,0,0
S00264,VAR2,KRAS,0.1,0.13768935288759826,522,SiteC,SiteC_Run01,Operator1,3,0,0
